ATYPIDAE,Atypus,affinis,Eichwald, 1830 E S W RI NS 
LINYPHIIDAE,Lophomma,punctatum,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Saloca,diceros,(O. P.-Cambridge, 1871) E W RI NS 
LINYPHIIDAE,Gongylidiellum,vivum,(O. P.-Cambridge, 1875) E S W NI RI 
LINYPHIIDAE,Gongylidiellum,latebricola,(O. P.-Cambridge, 1871) E S W NI RI NS 
LINYPHIIDAE,Gongylidiellum,murcidum,Simon, 1884 E S W RI NS V 
LINYPHIIDAE,Micrargus,herbigradus,(Blackwall, 1854) E S W NI RI 
LINYPHIIDAE,Micrargus,apertus,(O. P.-Cambridge, 1871) E S W 
LINYPHIIDAE,Micrargus,subaequalis,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Micrargus,laudatus,(O. P.-Cambridge, 1881) E W NS 
LINYPHIIDAE,Notioscopus,sarcinatus,(O. P.-Cambridge, 1872) E S W NS 
LINYPHIIDAE,Glyphesis,cottonae,(La Touche, 1945) E W RI NR V 
LINYPHIIDAE,Glyphesis,servulus,(Simon, 1881) E W NR NT 
LINYPHIIDAE,Erigonella,hiemalis,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Erigonella,ignobilis,(O. P.-Cambridge, 1871) E S W NI RI NS 
LINYPHIIDAE,Savignia,frontata,Blackwall, 1833 E S W NI RI 
LINYPHIIDAE,Diplocephalus,cristatus,(Blackwall, 1833) E S W NI RI 
LINYPHIIDAE,Diplocephalus,permixtus,(O. P.-Cambridge, 1871) E S W NI RI 
LINYPHIIDAE,Diplocephalus,latifrons,(O. P.-Cambridge, 1863) E S W NI RI 
LINYPHIIDAE,Diplocephalus,connatus,Bertkau, 1889 E NR CE 
LINYPHIIDAE,Diplocephalus,picinus,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Diplocephalus,protuberans,(O. P.-Cambridge, 1875) E S W NR V 
LINYPHIIDAE,Diplocephalus,graecus,(O. P.-Cambridge, 1872) Not present E 
LINYPHIIDAE,Araeoncus,humilis,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Araeoncus,crassiceps,(Westring, 1861) E S W NI RI NS 
LINYPHIIDAE,Panamomops,sulcifrons,(Wider, 1834) E W NS 
LINYPHIIDAE,Lessertia,dentichelis,(Simon, 1884) E W NI RI NS 
